132,489,3.89E-05,YGL090W
132,488,5.19E-05,YGL090W
170,646,5.68E-05,YFL026W
516,1064,1.27E-04,YOR175C
171,651,1.61E-04,YFL026W
232,711,1.69E-04,YCR079W
232,710,1.70E-04,YCR079W
171,646,1.75E-04,YFL026W
516,1063,2.24E-04,YOR175C
170,649,2.58E-04,YFL026W
516,1062,2.74E-04,YOR175C
516,1061,3.55E-04,YOR175C
170,644,4.18E-04,YFL026W
171,645,4.93E-04,YFL026W
170,646,5.60E-04,YIL015W
1003,1028,6.26E-04,YOR350C
516,1065,7.22E-04,YOR175C
170,643,7.41E-04,YFL026W
172,651,7.92E-04,YFL026W
514,1063,7.95E-04,YOR175C
170,651,8.01E-04,YFL026W
1020,1055,8.18E-04,YLR283W
514,1062,8.19E-04,YOR175C
171,642,8.26E-04,YFL026W
172,646,8.45E-04,YFL026W
233,711,8.53E-04,YCR079W
515,1063,8.55E-04,YOR175C
232,710,8.71E-04,YDL199C
515,1062,9.34E-04,YOR175C
233,710,9.39E-04,YCR079W
170,650,9.73E-04,YFL026W
232,709,0.001000811,YCR079W
1003,1029,0.001020276,YOR350C
514,1061,0.001041363,YOR175C
169,645,0.001057583,YFL026W
171,644,0.001083536,YFL026W
515,1061,0.001148418,YOR175C
971,1189,0.001187348,YDR221W
171,646,0.001193836,YIL015W
1003,1030,0.00129927,YOR350C
170,643,0.001365775,YIL015W
294,724,0.001383617,YNL058C
170,649,0.001516626,YIL015W
171,639,0.001576642,YIL015W
171,639,0.001596107,YFL026W
171,642,0.001620438,YIL015W
516,1067,0.001648013,YOR175C
169,642,0.001649635,YFL026W
170,650,0.001649635,YIL015W
171,643,0.001683698,YFL026W
232,710,0.001750203,YPL154C
481,564,0.001756691,YMR170C
232,710,0.001758313,YOR228C
514,1065,0.001860503,YOR175C
514,1064,0.001865369,YOR175C
331,566,0.001875101,YCL066W
232,711,0.001879968,YOR228C
171,651,0.001901054,YIL015W
516,1068,0.001910787,YOR175C
172,645,0.001961071,YFL026W
170,645,0.002001622,YFL026W
515,1065,0.002009732,YOR175C
515,1064,0.002014599,YOR175C
331,566,0.002022709,YNL145W
169,644,0.002027575,YFL026W
1063,1127,0.002100568,YLL056C
220,482,0.002199513,YER080W
232,711,0.002285483,YDL199C
472,949,0.002300081,YBR118W
481,564,0.002384428,YDR453C
306,845,0.002397405,YGR271W
1076,1097,0.002478508,YHR027C
237,1073,0.00265369,YIL132C
481,564,0.002656934,YDR070C
233,710,0.002721817,YOR142W
1077,1102,0.002759124,YOR266W
961,992,0.002767234,YER010C
518,610,0.002768856,YDR040C
920,1192,0.002783455,YDL205C
1020,1056,0.002909976,YLR283W
171,643,0.002958637,YIL015W
1003,1148,0.003012165,YPR191W
516,1066,0.003067315,YOR175C
293,724,0.003124088,YNL058C
799,1010,0.003138686,YPL077C
331,566,0.003158151,YCL065W
1007,1148,0.00324412,YPR191W
171,639,0.003248986,YKL209C
172,642,0.003265207,YFL026W
233,711,0.003271695,YOR142W
232,702,0.003304136,YPR117W
170,642,0.003334955,YFL026W
85,726,0.00334631,YER095W
232,703,0.003367397,YPR117W
232,711,0.003429035,YPL154C
103,343,0.003466342,YPL099C
169,643,0.003482563,YFL026W
691,714,0.003552311,YGR177C
294,727,0.003583131,YNL058C
169,639,0.003586375,YFL026W
233,710,0.003680454,YDL199C
481,564,0.003761557,YHR087W
232,710,0.003789132,YLR356W
82,727,0.003836172,YER095W
233,980,0.003855637,YDL061C
170,644,0.003905921,YIL015W
1003,1032,0.004012976,YOR350C
520,610,0.004021087,YDR040C
586,1200,0.004030819,YGL162W
1003,1027,0.004095702,YOR350C
85,731,0.004129765,YDR034W-B
305,845,0.004227088,YAL016W
169,642,0.00431468,YIL015W
472,955,0.004321168,YBR118W
235,543,0.004347121,YLR139C
514,1067,0.004358475,YOR175C
171,639,0.004361719,YCL066W
172,644,0.00437794,YFL026W
22,284,0.004397405,YDL205C
169,639,0.004502839,YIL015W
1077,1101,0.004509327,YOR266W
173,651,0.004509327,YFL026W
171,645,0.004622871,YIL015W
428,546,0.004655312,YIL082W-A
36,820,0.004679643,YFL009W
1003,1034,0.004734793,YOR350C
514,1068,0.004742903,YOR175C
595,823,0.004752636,YMR174C
232,701,0.004786699,YPR117W
132,488,0.004812652,YJR004C
232,710,0.004859692,YDR059C
495,572,0.004908354,YDR453C
173,646,0.00491322,YFL026W
515,1067,0.004955393,YOR175C
516,1059,0.004997567,YOR175C
518,609,0.005008921,YDR040C
510,1127,0.005025142,YDL220C
481,564,0.005109489,YER150W
172,646,0.005167883,YIL015W
482,564,0.00523601,YMR170C
210,1161,0.005268451,YER043C
232,709,0.005287916,YPL154C
1076,1096,0.005310624,YHR027C
170,639,0.005372263,YFL025C
233,980,0.005383617,YLR388W
515,1068,0.005386861,YOR175C
482,564,0.005391727,YBR117C
132,489,0.005453366,YJR004C
232,710,0.005474453,YBR241C
170,639,0.005484185,YIL015W
124,1152,0.005526358,YDR237W
82,724,0.005540957,YER095W
1003,1033,0.005607461,YOR350C
991,1017,0.005656123,YLR114C
482,564,0.005665856,YDR070C
517,609,0.005711273,YDR040C
1002,1031,0.005746959,YOR350C
233,980,0.005751825,YBR139W
286,518,0.005764801,YLR253W
170,642,0.005769667,YIL015W
690,714,0.005793998,YGR177C
331,566,0.005824818,YKL178C
233,709,0.005854015,YCR079W
1063,1128,0.005865369,YLL056C
331,566,0.005879968,YLR040C
234,1165,0.00589781,YOR063W
1077,1099,0.005912409,YHR027C
920,1191,0.005943228,YDL205C
1012,1198,0.005985401,YLR292C
233,710,0.006027575,YEL060C
169,639,0.006040552,YKL209C
232,710,0.006069749,YBR139W
238,1073,0.006123277,YIL132C
85,725,0.00617356,YER095W
481,564,0.006197891,YBR117C
172,639,0.006215734,YFL026W
509,1127,0.006246553,YDL220C
170,639,0.006339011,YFL026W
171,641,0.006368208,YFL026W
232,710,0.006416869,YNL305C
691,713,0.006454177,YGR177C
172,639,0.00649635,YIL015W
22,281,0.006532036,YDL205C
233,709,0.00658232,YEL060C
220,483,0.006600162,YER080W
495,575,0.006673155,YDR453C
305,843,0.006703974,YAL016W
353,603,0.006705596,YLR008C
172,639,0.006731549,YGL245W
141,374,0.006738037,YMR051C
172,642,0.006867802,YIL015W
103,344,0.006908354,YPL099C
172,643,0.007005677,YFL026W
331,566,0.007059205,YGL090W
423,549,0.007132198,YDL200C
595,822,0.007193836,YMR174C
170,651,0.007232766,YIL015W
331,566,0.007234388,YKL209C
1076,1097,0.007240876,YPL184C
401,680,0.007255474,YKL043W
614,819,0.007271695,YDR464W
481,564,0.007304136,YMR250W
234,1197,0.007315491,YPL005W
613,819,0.007349554,YDR464W
516,1069,0.007359286,YOR175C
103,342,0.007365775,YPL099C
141,374,0.007388483,YJR027W
548,895,0.007419303,YJR144W
232,980,0.007420925,YBR139W
221,482,0.007432279,YER080W
233,711,0.007495539,YCR030C
233,705,0.007500406,YGR104C
1002,1028,0.007513382,YOR350C
169,643,0.007592863,YIL015W
293,727,0.007683698,YNL058C
28,1000,0.007714517,YIR031C
171,646,0.007743715,YFL025C
170,647,0.007761557,YFL026W
221,690,0.007823195,YPL137C
587,1149,0.007873479,YPL276W
315,1161,0.007879968,YMR272C
1076,1098,0.007927007,YHR027C
171,639,0.00793674,YFL025C
1007,1149,0.007977291,YLR390W
233,711,0.008081103,YDL199C
232,980,0.008089213,YDL061C
232,709,0.008089213,YER016W
331,571,0.008124899,YCL066W
171,644,0.008131387,YIL015W
482,564,0.008134631,YHR087W
233,978,0.008154096,YBR139W
232,710,0.008199513,YFL030W
85,731,0.0082206,YDR098C
925,1167,0.00836983,YBR111C
78,342,0.008413625,YMR205C
614,820,0.008447689,YDR464W
232,710,0.00853528,YLR276C
643,1200,0.008564477,YAR070C
613,820,0.008569343,YDR464W
172,651,0.008629359,YIL015W
482,564,0.008629359,YDR453C
233,979,0.008682887,YBR139W
294,726,0.008712084,YNL058C
514,1066,0.008721817,YOR175C
1017,1055,0.008749392,YLR283W
170,646,0.008801298,YNL145W
232,697,0.008807786,YPR117W
74,297,0.008916464,YJL014W
911,1031,0.009021898,YKL010C
233,980,0.00908678,YGL247W
710,809,0.009169505,YCR079W
1077,1097,0.009184104,YHR027C
515,1066,0.009214923,YOR175C
516,1060,0.009223033,YOR175C
1020,1048,0.009287916,YLR283W
233,704,0.009289538,YCR030C
221,691,0.009315491,YPL137C
1064,1127,0.009320357,YLL056C
331,566,0.009459854,YJR004C
232,991,0.009518248,YGL232W
1066,1127,0.009537713,YLL056C
232,710,0.009570154,YEL060C
946,1016,0.009579886,YNR075W
691,714,0.009618816,YGL253W
232,710,0.009680454,YER079W
219,482,0.009753447,YER080W
170,639,0.009756691,YCL066W
1002,1029,0.009777778,YOR350C
1012,1198,0.00983455,YOR360C
170,639,0.009886456,YKL209C
472,956,0.009902676,YBR118W
